베테랑,66.00046,"3,300,023",한국,15세이상관람가,"액션,드라마",류승완,황정민|유아인|유해진|오달수|장윤주|김시후|오대환|정웅인|정만식|송영창|진경|유인영|박소담|이동휘|배성우|천호진|이채은|조덕현|신지수|김성종|권지훈|정윤헌|장한승|김선웅|김성종|우영택|김민재|김재현|김태용|김지수|박지윤|박지혜|손성민|장소연|유재명|배제기|류선영|정재헌|안길강|마동석|김응수
암살,31.56043,"3,156,043",한국,15세이상관람가,"액션,드라마",최동훈,전지현|이정재|하정우|오달수|조진웅|이경영|최덕문|김의성|박병은|김홍파|강용빈|홍성지|지동주|장현석|장용현|김민지|김승찬|안태랑|김예은|김정석|김정호|김준우|김지원|박상민|박정환|조승우|김해숙|진경|박소은|김인우
어벤져스: 에이지 오브 울트론,28.23388,"2,823,388",미국,12세이상관람가,"액션,어드벤처,판타지,SF",조스 웨던,로버트 다우니 주니어|크리스 헴스워스|마크 러팔로|크리스 에반스|스칼렛 요한슨|제레미 레너|돈 치들|애런 존슨|엘리자베스 올슨|폴 베타니|코비 스멀더스|제임스 스페이더|사무엘 L. 잭슨|수현
부산행,27.54664,"2,754,664",한국,15세이상관람가,"액션,스릴러",연상호,공유|김정희|정유미|마동석|최우식|안소희|김의성|김수안|박민우|박민혁|임종훈|박종관|장문성|박혜진|손지훈|손지훈|연상호|조춘호|지동현|윤미중|이동하|이윤상|최창수|편준의|허성우|황유경
캡틴 아메리카: 시빌 워,24.00069,"2,400,069",미국,12세이상관람가,"액션,SF,스릴러","안소니 루소,조 루소",크리스 에반스|로버트 다우니 주니어|스칼렛 요한슨|세바스찬 스탠|안소니 마키|돈 치들|제레미 레너
검사외전,22.26419,"2,226,419",한국,15세이상관람가,"범죄,코미디",이일형,황정민|강동원|이성민|박성웅|김응수|신소율|주진모|김원해|김홍파|김병옥|박종환|전배수|박지환|손종학|신혜선|김시은|김종수|한재영|박지환|박종우|박지홍|송승현|윤석민|이규호|이석준|이선주|이승민|이승우|이승준|이승훈|이승훈|최현준
국제시장,20.35955,"2,035,955",한국,12세이상관람가,드라마,윤제균,황정민|김윤진|오달수|정진영|장영남|라미란|김슬기|정영기|맹세창|김동원|김현중|김지영|황창기|박재우|박찬희|김예빈|김재철|김하연|김재현|이소영|류경현|황인준|이종석|이진희|박영수|전희경|박재언|유재상|김선영|정윤호|박길수|박영수
킹스맨 : 시크릿 에이전트,19.73409,"1,973,409","미국,영국",청소년관람불가,"액션,스릴러",매튜 본,콜린 퍼스|태런 에저튼|사무엘 L. 잭슨|마이클 케인
내부자들,19.73181,"1,973,181",한국,청소년관람불가,"범죄,드라마",우민호,이병헌|조승우|백윤식|이경영|김홍파|배성우|조재윤|김대명|조우진|이엘|정만식|김병옥|김의성|박진우|남일우|김연지|김진우|문소리|박경순|설우신|손혜진|신정미|윤보배|이선관|이재남|이재정|이주아|신지수|장현준|최정연|황준혁|손종학|조덕제|유재명
밀정,18.36695,"1,836,695",한국,15세이상관람가,액션,김지운,송강호|공유|한지민|츠루미 신고|엄태구|신성록|서영주|박민우|이진한|이진한|임서영|임서영|전수빈|정유안|조권수|조윤담|이동진|이상희|이수광|이승진|하민
곡성,18.31567,"1,831,567",한국,15세이상관람가,"미스터리,스릴러,드라마",나홍진,곽도원|황정민|쿠니무라 준|천우희|김환희|허진|장소연|김도윤|손강국|전배수|황석정|배용근|배용근|이인철|이용녀|선호삼|송민석|신재현|안수연|이선희|이수빈|이수진|권귀덕|이연|이연경|이연경
히말라야,17.38025,"1,738,025",한국,12세이상관람가,드라마,이석훈,황정민|정우|조성하|김인권|라미란|김원해|이해영|전배수|정유미|유선|한명환|김재준|박민우|배상민|이춘우|이혜진|최종률
터널,16.76926,"1,676,926",한국,12세이상관람가,드라마,김성훈,하정우|배두나|오달수|김종수|임한빈|정민희|송민석|윤성민|이동진|이상희|최춘범|권승구
미션 임파서블: 로그네이션,16.69524,"1,669,524",미국,15세이상관람가,"액션,스릴러,어드벤처",크리스토퍼 맥쿼리,톰 크루즈|제레미 레너|사이몬 페그|알렉 볼드윈|레베카 퍼거슨
사도,16.06593,"1,606,593",한국,12세이상관람가,사극,이준익,송강호|유아인|문근영|전혜진|김해숙|박원상|진지희|박소담|서예지|이효제|곽동호|최희영|정호|이현철|김상훈|이민혜|김경원|김대환|김민규|양지혜|안현숙|김우진|이대연|최덕문|정석용|최민철|안정우|안태훈|조승연
인사이드 아웃,15.95674,"1,595,674",미국,전체관람가,"애니메이션,코미디",피트 닥터,다이안 레인|에이미 포엘러|카일 맥라클란|민디 캘링|빌 헤이더
마션,15.13952,"1,513,952",미국,12세이상관람가,"액션,어드벤처,SF",리들리 스콧,맷 데이먼|제시카 차스테인|제프 다니엘스|케이트 마라|크리스틴 위그
쥬라기 월드,15.02391,"1,502,391",미국,12세이상관람가,"액션,어드벤처,SF",콜린 트레보로우,크리스 프랫|주디 그리어|브라이스 달라스 하워드|케이티 맥그라스|제이크 존슨|빈센트 도노프리오
주토피아,14.66435,"1,466,435",미국,전체관람가,"애니메이션,액션,어드벤처","바이론 하워드,리치 무어",지니퍼 굿윈|제이슨 베이트먼|샤키라
검은 사제들,14.30099,"1,430,099",한국,15세이상관람가,"미스터리,드라마",장재현,김윤석|강동원|박소담|김병옥|김의성|이호재|남일우|김동현|김미영|김수진|김혜민|박지수|송선찬|이상민|이승훈|이현우|손종학|조수향|남문철
인천상륙작전,14.27631,"1,427,631",한국,12세이상관람가,"전쟁,드라마",이재한,이정재|이범수|리암 니슨|진세연|정준호|박철민|김병옥|김선아|김영애|박성웅|추성훈|황석하
럭키,13.48511,"1,348,511",한국,15세이상관람가,코미디,이계벽,유해진|이준|조윤희|임지연|전혜빈|이동휘
덕혜옹주,13.07462,"1,307,462",한국,12세이상관람가,"사극,드라마",허진호,손예진|박해일|윤제문|라미란|정상훈|박수영|김소현|박주미|안내상|김재욱|김인우|백윤식|김대명|김정희|박윤식|박지수|박혜영|송민수|송창현|신동주|오세영|이경훈|이명규|이상진|이승진|최영빈|최일순|최정순|한동훈|함성원|홍은지
아가씨,12.92006,"1,292,006",한국,청소년관람불가,"스릴러,드라마",박찬욱,김민희|김태리|하정우|조진웅|김해숙|문소리|최병모|김인우|이용녀|조은형|장한순|이규정|이승준|이윤재
매드 맥스: 분노의 도로,12.85824,"1,285,824","미국,호주",15세이상관람가,"액션,어드벤처,스릴러",조지 밀러,톰 하디|샤를리즈 테론|니콜라스 홀트|조 크라비츠|로지 헌팅턴-휘틀리|라일리 코프|메간 게일|애비 리|코트니 이튼
연평해전,12.66958,"1,266,958",한국,12세이상관람가,드라마,김학순,김무열|진구|이현우|이완|이청아|천민희|이한종|박찬희|박혜준|최순조|최승준|최종환|송재호|유형균|박정학|이철민|김강일
인턴,12.28591,"1,228,591",미국,12세이상관람가,코미디,낸시 마이어스,앤 해서웨이|로버트 드니로|르네 루소|냇 울프|아담 드바인|앤드류 라넬스
데드풀,10.6253,"1,062,530",미국,청소년관람불가,"액션,SF",팀 밀러,라이언 레놀즈|모레나 바카린|에드 스크레인|지나 카라노|T.J. 밀러|브리아나 힐데브란드
스타워즈: 깨어난 포스,10.47067,"1,047,067",미국,12세이상관람가,"액션,어드벤처,판타지",J.J. 에이브럼스,해리슨 포드|마크 해밀|캐리 피셔|사이몬 페그|오스카 아이삭|막스 본 시도우|돔놀 글리슨
쿵푸팬더3,10.4541,"1,045,410",미국,전체관람가,"애니메이션,액션,어드벤처","여인영,알레산드로 칼로니",잭 블랙|안젤리나 졸리|더스틴 호프만|성룡|세스 로건|루시 리우|데이빗 크로스|J.K. 시몬스
분노의 질주: 더 세븐,8.64568,"864,568",미국,15세이상관람가,"액션,범죄,스릴러",제임스 완,빈 디젤|폴 워커|드웨인 존슨|제이슨 스타뎀
